n	d	dxn	grid_acc	model_size	level
2	1	2	1.0	70	1
3	1	3	0.7333333333333334	70	1
4	1	4	0.95	70	1
5	1	5	0.86	70	1
6	1	6	0.2037037037037037	70	1
7	1	7	0.3968253968253968	70	1
2	2	4	0.95	70	1
3	2	6	0.6333333333333333	70	1
4	2	8	0.8125	70	1
5	2	10	0.4666666666666667	70	1
6	2	12	0.4880952380952381	70	1
7	2	14	0.2928571428571428	70	1
2	3	6	0.8166666666666668	70	1
3	3	9	0.7111111111111111	70	1
4	3	12	0.4833333333333333	70	1
5	3	15	0.3925925925925926	70	1
6	3	18	0.3333333333333333	70	1
7	3	21	0.3068783068783068	70	1
2	4	8	0.8125	70	1
3	4	12	0.6916666666666668	70	1
4	4	16	0.44375	70	1
5	4	20	0.42	70	1
6	4	24	0.3166666666666666	70	1
7	4	28	0.3178571428571429	70	1
2	5	10	0.86	70	1
3	5	15	0.5133333333333333	70	1
4	5	20	0.45	70	1
5	5	25	0.324	70	1
6	5	30	0.29	70	1
7	5	35	0.2028571428571428	70	1
2	6	12	0.8166666666666668	70	1
3	6	18	0.6222222222222222	70	1
4	6	24	0.35	70	1
5	6	30	0.32	70	1
6	6	36	0.2944444444444444	70	1
7	6	42	0.1952380952380952	70	1
2	7	14	0.8357142857142856	70	1
3	7	21	0.4857142857142856	70	1
4	7	28	0.373015873015873	70	1
5	7	35	0.3	70	1
6	7	42	0.2404761904761904	70	1
7	7	49	0.2061224489795918	70	1
2	1	2		70	2
3	1	3	0.6	70	2
4	1	4	0.5	70	2
5	1	5	0.5	70	2
6	1	6	0.3666666666666667	70	2
7	1	7	0.4821428571428571	70	2
2	2	4		70	2
3	2	6	0.4833333333333333	70	2
4	2	8	0.7361111111111112	70	2
5	2	10	0.3777777777777777	70	2
6	2	12	0.2962962962962963	70	2
7	2	14	0.3877551020408163	70	2
2	3	6		70	2
3	3	9	0.5555555555555556	70	2
4	3	12	0.5740740740740741	70	2
5	3	15	0.2518518518518518	70	2
6	3	18	0.2722222222222222	70	2
7	3	21	0.1957671957671957	70	2
2	4	8		70	2
3	4	12	0.5499999999999999	70	2
4	4	16	0.3472222222222222	70	2
5	4	20	0.2833333333333333	70	2
6	4	24	0.287037037037037	70	2
7	4	28	0.2071428571428571	70	2
2	5	10		70	2
3	5	15	0.5	70	2
4	5	20	0.4349999999999999	70	2
5	5	25	0.3377777777777778	70	2
6	5	30	0.2233333333333333	70	2
7	5	35	0.2342857142857142	70	2
2	6	12		70	2
3	6	18	0.54320987654321	70	2
4	6	24	0.4083333333333334	70	2
5	6	30	0.3466666666666667	70	2
6	6	36	0.2555555555555555	70	2
7	6	42	0.2071428571428571	70	2
2	7	14		70	2
3	7	21	0.4809523809523809	70	2
4	7	28	0.3482142857142857	70	2
5	7	35	0.28	70	2
6	7	42	0.2619047619047619	70	2
7	7	49	0.1746031746031746	70	2
2	1	2	0.8	70	3
3	1	3	0.7666666666666666	70	3
4	1	4	0.35	70	3
5	1	5	0.42	70	3
6	1	6	0.7833333333333333	70	3
7	1	7	0.2285714285714286	70	3
2	2	4	0.9	70	3
3	2	6	0.6333333333333333	70	3
4	2	8	0.475	70	3
5	2	10	0.4666666666666667	70	3
6	2	12	0.25	70	3
7	2	14	0.1642857142857142	70	3
2	3	6	0.75	70	3
3	3	9	0.6555555555555556	70	3
4	3	12	0.4416666666666666	70	3
5	3	15	0.3066666666666666	70	3
6	3	18	0.2833333333333333	70	3
